Namespace;Enumeration name;Enumeration literal;Designation;Definition;Origin;Original code
LocationReferencing;LaneEnum;turningLane;Turning lane;In the turning lane.;;
LocationReferencing;LaneEnum;verge;Verge;On the verge.;;
Parking;LayoutEnum;building;Building;A building;;
Parking;LayoutEnum;field;Field;A non-bituminized parking space (e.g. for events or as extension).;;
Parking;LayoutEnum;layBy;Lay by;An area along a road that offers temporarily parking.;;
Parking;LayoutEnum;nested;Nested;A parking space within a complex structure of buildings or surrounded by buildings.;;
Parking;LayoutEnum;openSpace;Open space;A normal ground level parking place.;;
LocationReferencing;LinearDirectionEnum;aligned;Aligned;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is in the same sense as the direction in which the linear element is defined.;;
LocationReferencing;LinearDirectionEnum;both;Both;Indicates that both directions of traffic flow are affected by the situation or relate to the traffic data.;;
LocationReferencing;LinearDirectionEnum;opposite;Opposite;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is in the opposite sense to the direction in which the linear element is defined.;;
LocationReferencing;LinearDirectionEnum;unknown;Unknown;Indicates that the direction of traffic flow affected by the situation or related to the traffic data is unknown.;;
LocationReferencing;LinearElementNatureEnum;other;Other;Other than as defined in this enumeration.;;
LocationReferencing;LinearElementNatureEnum;road;Road;The nature of the linear element is a road.;;
LocationReferencing;LinearElementNatureEnum;roadSection;Road section;The nature of the linear element is a section of a road.;;
LocationReferencing;LinearElementNatureEnum;slipRoad;Slip road;The nature of the linear element is a slip road.;;
Common;LoadTypeEnum;abnormalLoad;Abnormal load;A load that exceeds normal vehicle dimensions in terms of height, length, width, gross vehicle weight or axle weight or any combination of these. Generally termed an "abnormal load".;;
Common;LoadTypeEnum;ammunition;Ammunition;Ammunition.;;
Common;LoadTypeEnum;chemicals;Chemicals;Chemicals of unspecified type.;;
Common;LoadTypeEnum;combustibleMaterials;Combustible materials;Combustible materials of unspecified type.;;
Common;LoadTypeEnum;corrosiveMaterials;Corrosive materials;Corrosive materials of unspecified type.;;
Common;LoadTypeEnum;debris;Debris;Debris of unspecified type.;;
Common;LoadTypeEnum;empty;Empty;No load.;;
Common;LoadTypeEnum;explosiveMaterials;Explosive materials;Explosive materials of unspecified type.;;
Common;LoadTypeEnum;extraHighLoad;Extra high load;A load of exceptional height.;;
Common;LoadTypeEnum;extraLongLoad;Extra long load;A load of exceptional length.;;
Common;LoadTypeEnum;extraWideLoad;Extra wide load;A load of exceptional width.;;
Common;LoadTypeEnum;fuel;Fuel;Fuel of unspecified type.;;
Common;LoadTypeEnum;glass;Glass;Glass.;;
Common;LoadTypeEnum;goods;Goods;Any goods of a commercial nature.;;
Common;LoadTypeEnum;hazardousMaterials;Hazardous materials;Materials classed as being of a hazardous nature.;;
Common;LoadTypeEnum;liquid;Liquid;Liquid of an unspecified nature.;;
Common;LoadTypeEnum;livestock;Livestock;Livestock.;;
Common;LoadTypeEnum;materials;Materials;General materials of unspecified type.;;
Common;LoadTypeEnum;materialsDangerousForPeople;Materials dangerous for people;Materials classed as being of a danger to people or animals.;;
Common;LoadTypeEnum;materialsDangerousForTheEnvironment;Materials dangerous for the environment;Materials classed as being potentially dangerous to the environment.;;
Common;LoadTypeEnum;materialsDangerousForWater;Materials dangerous for water;Materials classed as being dangerous when exposed to water (e.g. materials which may react exothermically with water).;;
Common;LoadTypeEnum;oil;Oil;Oil.;;
Common;LoadTypeEnum;ordinary;Ordinary;Materials that present limited environmental or health risk. Non-combustible, non-toxic, non-corrosive.;;
Common;LoadTypeEnum;other;Other;Other than as defined in this enumeration.;;
Common;LoadTypeEnum;perishableProducts;Perishable products;Products or produce that will significantly degrade in quality or freshness over a short period of time.;;
Common;LoadTypeEnum;petrol;Petrol;Petrol or petroleum.;;
Common;LoadTypeEnum;pharmaceuticalMaterials;Pharmaceutical materials;Pharmaceutical materials.;;
Common;LoadTypeEnum;radioactiveMaterials;Radioactive materials;Materials that emit significant quantities of electro-magnetic radiation that may present a risk to people, animals or the environment.;;
Common;LoadTypeEnum;refrigeratedGoods;Refrigerated goods;Refrigerated goods.;;
Common;LoadTypeEnum;refuse;Refuse;Refuse.;;
Common;LoadTypeEnum;toxicMaterials;Toxic materials;Materials of a toxic nature which may damage the environment or endanger public health.;;
Common;LoadTypeEnum;vehicles;Vehicles;Vehicles of any type which are being transported.;;
Common;LowEmissionLevelEnum;freeOfEmission;Free of emission;Only vehicles that do not produce emissions (e.g. electric driven). Hybrid driven cars are allowed, when they switch to emission free mode within the considered situation.;;
Common;LowEmissionLevelEnum;lowLevelEmission;Low level emission;Vehicles with low level emission.;;
Situation;MaintenanceVehicleActionsEnum;maintenanceAction;Maintenance action;Maintenance vehicles are performing maintenance action;;
Situation;MaintenanceVehicleActionsEnum;maintenanceVehiclesMergingIntoTrafficFlow;Maintenance vehicles merging into traffic flow;Maintenance vehicles are merging into the traffic flow creating a potential hazard for road users.;;
Situation;MaintenanceVehicleActionsEnum;slowMoving;Slow moving;Maintenance vehicles are slow moving.;;
Situation;MaintenanceVehicleActionsEnum;stoppingToServiceEquipments;Stopping to service equipments;Maintenance vehicles are stopping to service equipments on or next to the roadway.;;
Facilities;MeansOfPaymentEnum;cashBillsOnly;Cash bills only;Cash payment using bills only.;;
Facilities;MeansOfPaymentEnum;cashCoinsAndBills;Cash coins and bills;Cash payment using bills and/or coins only.;;
Facilities;MeansOfPaymentEnum;cashCoinsOnly;Cash coins only;Cash payment with coins only.;;
Facilities;MeansOfPaymentEnum;mobileAccount;Mobile account;Payment method using an app or other functions typically via a smartphone to a linked bank or card account.;;
Facilities;MeansOfPaymentEnum;paymentCreditCard;Payment credit card;Payment by electronic payment credit card which is a small plastic card issued by a bank, building society, or other financial institution (ISO/IEC 7813 and other related standards), allowing the holder to purchase goods or services on credit.;;
Facilities;MeansOfPaymentEnum;paymentDebitCard;Payment debit card;Payment by electronic payment debit card which is a small plastic card (ISO/IEC 7813 and other related standards), allowing the holder to transfer money electronically from their bank account when making a purchase.;;
Facilities;MeansOfPaymentEnum;paymentValueCard;Payment value card;Payment by electronic payment debit card which is a small plastic card (ISO/IEC 7813 and other related standards) with a monetary value stored on the card itself, that may not be linked to an external account maintained by a financial institution.;;
Facilities;MeansOfPaymentEnum;prepay;Prepay;Advanced payment for parking right.;;
Facilities;MeansOfPaymentEnum;tollTag;Toll tag;Toll tag (RFID) or similar, with associated account.;;
Facilities;MeansOfPaymentEnum;unknown;Unknown;Unknown.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;humidityInformation;Humidity information;Measured or derived humidity information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;individualVehicleMeasurements;Individual vehicle measurements;Measured or derived individual vehicle measurements.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;pollutionInformation;Pollution information;Measured or derived pollution information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;precipitationInformation;Precipitation information;Measured or derived precipitation information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;pressureInformation;Pressure information;Measured or derived pressure information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;roadSurfaceConditionInformation;Road surface condition information;Measured or derived road surface conditions information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;temperatureInformation;Temperature information;Measured or derived temperature information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficConcentration;Traffic concentration;Measured or derived traffic concentration information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficFlow;Traffic flow;Measured or derived traffic flow information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficGap;Traffic gap;Measured or derived traffic gap information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficHeadway;Traffic headway;Measured or derived traffic headway information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficSpeed;Traffic speed;Measured or derived traffic speed information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;trafficStatusInformation;Traffic status information;Measured or derived traffic status information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;travelTimeInformation;Travel time information;Measured or derived travel time information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;visibilityInformation;Visibility information;Measured or derived visibility information.;;
RoadTrafficData;MeasuredOrDerivedDataTypeEnum;windInformation;Wind information;Measured or derived wind information.;;
Vms;MessageInformationTypeEnum;campaignMessage;Campaign message;Campaign type information which is non time specific that may request certain actions (e.g. "do not drink and drive") or which is intended to influence drivers' behaviour.;;
Vms;MessageInformationTypeEnum;dateTime;Date time;Current date and/or time information.;;
Vms;MessageInformationTypeEnum;futureInformation;Future information;Information which informs road users about future situations which can potentially cause congestion or influence future travel plans (e.g. future roadworks, closures, sporting events, public concerts, suspension of train or ferry services).;;
Vms;MessageInformationTypeEnum;instructionOrMessage;Instruction or message;Instructions or messages to road users which are relevant at the current time, (e.g. "do not throw out any burning objects" or an Amber alert message).;;
Vms;MessageInformationTypeEnum;situationWarning;Situation warning;Information warning of a current situation likely to affect traffic on the road ahead.;;
Vms;MessageInformationTypeEnum;temperature;Temperature;Temperature information.;;
Vms;MessageInformationTypeEnum;trafficManagement;Traffic management;Information comprising traffic management instructions.;;
Vms;MessageInformationTypeEnum;travelTime;Travel time;Travel time information.;;
Situation;MobilityTypeEnum;mobile;Mobile;The described element of a situation is moving.;;
Situation;MobilityTypeEnum;stationary;Stationary;The described element of a situation is stationary.;;
Situation;MobilityTypeEnum;unknown;Unknown;The mobility of the described element of a situation is unknown.;;
Common;MonthOfYearEnum;april;April;The month of April.;;
Common;MonthOfYearEnum;august;August;The month of August.;;
Common;MonthOfYearEnum;december;December;The month of December.;;
Common;MonthOfYearEnum;february;February;The month of February.;;
Common;MonthOfYearEnum;january;January;The month of January.;;
Common;MonthOfYearEnum;july;July;The month of July.;;
Common;MonthOfYearEnum;june;June;The month of June.;;
Common;MonthOfYearEnum;march;March;The month of March.;;
Common;MonthOfYearEnum;may;May;The month of May.;;
Common;MonthOfYearEnum;november;November;The month of November.;;
Common;MonthOfYearEnum;october;October;The month of October.;;
Common;MonthOfYearEnum;september;September;The month of September.;;
LocationReferencing;NamedAreaTypeEnum;applicationRegion;Application region;Application region;;
LocationReferencing;NamedAreaTypeEnum;carParkArea;Car park area;Car park area;;
LocationReferencing;NamedAreaTypeEnum;carpoolArea;Carpool area;Carpool area;;
LocationReferencing;NamedAreaTypeEnum;continent;Continent;Continent;;
LocationReferencing;NamedAreaTypeEnum;country;Country;Country;;
LocationReferencing;NamedAreaTypeEnum;countryGroup;Country group;Group of countries.;;
LocationReferencing;NamedAreaTypeEnum;fuzzyArea;Fuzzy area;Fuzzy area;;
LocationReferencing;NamedAreaTypeEnum;industrialArea;Industrial area;Industrial area;;
LocationReferencing;NamedAreaTypeEnum;lake;Lake;Lake;;
LocationReferencing;NamedAreaTypeEnum;meteorologicalArea;Meteorological area;Meteorological area;;
LocationReferencing;NamedAreaTypeEnum;metropolitanArea;Metropolitan area;Metropolitan area;;
LocationReferencing;NamedAreaTypeEnum;municipality;Municipality;Municipality;;
LocationReferencing;NamedAreaTypeEnum;order1AdministrativeArea;Order 1 administrative area;Order 1 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order2AdministrativeArea;Order 2 administrative area;Order 2 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order3AdministrativeArea;Order 3 administrative area;Order 3 administrative area;;
LocationReferencing;NamedAreaTypeEnum;order4AdministrativeArea;Order 4 administrative area;Order 4 administrative area;;
